	qid_	label_	f0	f1	f2	f3	f4
2.8	23	3.0	1.0	1.0	1.0	0.0	2.0699429511999998
1.4	12	1.0	1.0	1.0	0.0	0.69314718060000002	2.0508906841000001
2.8	12	2.0	0.0	1.0	1.0	0.0	1.8951435088999999
1.8	12	1.0	1.0	0.0	1.0	1.0397207708	1.3062841891999999
1.8	12	1.0	2.0	0.0	0.0	0.0	1.0254453421
1.0	12	1.0	1.0	1.0	0.0	0.0	0.79877197740000005
2.6	12	3.0	1.0	1.0	0.0	1.0986122887000001	0.53769838810000004
2.2	12	3.0	1.0	1.0	0.0	0.69314718060000002	0.3662304878
1.0	12	1.0	1.0	0.0	0.0	0.0	2.7073478699
1.0	12	1.0	1.0	0.0	0.0	0.0	2.4860548972999998
1.4	12	1.0	1.0	0.0	0.0	0.69314718060000002	2.0508906841000001
1.8	12	3.0	1.0	0.0	0.0	0.69314718060000002	1.9467004537999999
1.0	48	3.0	4.0	1.0	0.0	0.0	0.1279438436
1.0	48	1.0	1.0	0.0	0.0	0.0	3.9280872345
1.0	48	1.0	1.0	0.0	0.0	0.0	3.2734060287000002
1.0	48	1.0	1.0	0.0	0.0	0.0	3.2734060287000002
1.0	48	1.0	1.0	0.0	0.0	1.0986122887000001	1.9843970537
1.0	48	1.0	1.0	0.0	0.0	0.0	1.6367030144000001
1.0	48	1.0	1.0	0.0	0.0	0.0	0.31311208010000002
1.0	0	1.0	4.0	0.0	0.0	0.50040242400000001	2.2390847200000001
2.2	0	2.0	1.0	1.0	1.0	0.0	3.48607779
1.8	0	1.0	2.0	1.0	0.0	0.69314718099999995	2.7173700300000001
2.6	0	3.0	1.0	1.0	1.0	0.56233514500000004	1.75052524
1.8	0	1.0	2.0	1.0	0.0	0.0	1.21752167
1.4	0	2.0	1.0	1.0	0.0	0.0	4.3575968700000001
1.4	0	2.0	1.0	1.0	0.0	0.0	4.0176162700000004
1.2	0	2.0	1.0	1.0	0.0	0.69314718099999995	3.6975436199999998
2.2	0	3.0	1.0	0.0	1.0	0.0	3.48607779
1.0	0	1.0	1.0	1.0	0.0	0.0	3.48607779
1.0	0	3.0	1.0	1.0	0.0	0.0	3.48607779
2.6	28	2.0	3.0	1.0	1.0	1.2770342594999999	0.99920845030000005
2.2	28	3.0	2.0	1.0	1.0	1.0397207708	2.1810970306000002
2.2	28	2.0	2.0	1.0	1.0	1.3321790402	1.8008852005
2.4	28	2.0	2.0	0.0	1.0	1.3321790402	2.6109256743999998
3.0	28	3.0	1.0	0.0	1.0	0.0	2.9112763405000002
1.2	28	1.0	2.0	0.0	0.0	0.0	2.8866465092000002
3.0	28	3.0	1.0	0.0	1.0	0.69314718060000002	2.0794830322000002
3.0	28	3.0	1.0	0.0	1.0	0.0	2.0585832596000002
1.2	28	1.0	1.0	1.0	0.0	0.0	1.2476898432000001
2.6	28	2.0	1.0	0.0	1.0	1.0986122887000001	1.15378654
1.8	28	2.0	1.0	0.0	1.0	1.0114042647000001	1.15378654
1.6	52	3.0	46.0	0.0	0.0	0.0	0.53589701700000003
2.6	52	3.0	22.0	0.0	1.0	2.3974572448	1.141094804
1.8	52	1.0	17.0	0.0	0.0	1.1808043878000001	0.68206197000000002
2.4	52	3.0	10.0	1.0	1.0	0.0	0.88988709399999999
2.2	52	3.0	8.0	1.0	1.0	1.8973675671000001	0.85392844700000003
2.6	52	3.0	7.0	0.0	1.0	1.1710598699999999	0.7366804481
2.4	52	3.0	6.0	0.0	1.0	1.1626998335000001	0.77994114160000005
1.2	52	3.0	6.0	0.0	0.0	1.529248293	0.96968269350000003
2.8	52	3.0	3.0	1.0	1.0	0.0	2.0764033793999999
2.8	52	3.0	4.0	0.0	1.0	0.0	1.5103983879
2.2	52	3.0	5.0	0.0	0.0	0.0	1.1865161657000001
1.6	10	3.0	6.0	0.0	0.0	0.0	0.74885594840000003
2.4	10	2.0	1.0	1.0	1.0	0.69314718060000002	3.4859528541999998
2.6	10	2.0	1.0	1.0	1.0	0.0	1.1277109384999999
1.4	10	3.0	3.0	0.0	0.0	1.7298201304	0.4871767461
1.0	10	3.0	1.0	1.0	0.0	0.0	2.1568233967000001
1.4	10	2.0	1.0	1.0	0.0	0.0	1.7116707563
1.0	10	1.0	1.0	1.0	0.0	0.0	1.5312001705
1.0	10	3.0	1.0	1.0	0.0	0.0	1.5312001705
1.0	10	1.0	1.0	1.0	0.0	0.0	1.2708349228
1.4	10	1.0	1.0	1.0	0.0	0.0	1.2324705123999999
1.0	10	2.0	1.0	1.0	0.0	0.0	1.0784116983000001
2.6	1	3.0	4.0	1.0	0.0	0.0	1.2554712295999999
2.8	1	3.0	3.0	1.0	1.0	0.0	1.1132621764999999
2.0	1	2.0	3.0	1.0	0.0	0.0	1.0900064706999999
2.6	1	3.0	3.0	1.0	0.0	0.0	0.88880509139999997
1.6	1	2.0	4.0	0.0	0.0	0.86756322850000001	0.72665262220000004
1.2	1	3.0	1.0	1.0	0.0	0.0	2.3797717093999999
1.2	1	3.0	1.0	1.0	0.0	0.0	2.3797717093999999
1.2	1	3.0	1.0	1.0	0.0	0.0	2.3797717093999999
1.2	1	1.0	1.0	1.0	0.0	0.0	2.3797717093999999
2.2	1	2.0	1.0	0.0	1.0	0.0	2.3797717093999999
1.4	1	2.0	1.0	1.0	0.0	0.69314718060000002	2.1034410000000001
1.8	33	1.0	20.0	1.0	0.0	1.3116229086	1.5022902490000001
2.8	33	3.0	19.0	0.0	1.0	0.48510450040000003	1.4661374089999999
2.2	33	1.0	19.0	0.0	1.0	2.7502630414000002	0.51618051499999995
2.8	33	3.0	15.0	0.0	1.0	0.96469462269999995	1.8920094970000001
1.0	33	1.0	9.0	0.0	1.0	3.2318265609000001	1.8775517939999999
2.6	33	3.0	8.0	1.0	0.0	0.34883209580000002	1.2473640442
2.4	33	3.0	6.0	1.0	0.0	0.4101163183	0.71460688110000004
2.6	33	2.0	4.0	1.0	0.0	0.68696157660000001	1.9575837851
2.0	33	1.0	5.0	0.0	0.0	1.7480735216000001	0.84382355210000004
1.8	33	1.0	4.0	0.0	1.0	3.3375378716999999	0.7152099609
2.4	33	1.0	5.0	0.0	0.0	3.1529780622999999	0.45716735720000001
2.0	22	2.0	10.0	0.0	1.0	2.8191938559	0.80904972600000002
2.6	22	2.0	5.0	1.0	0.0	1.9712506785999999	1.0324540138
3.0	22	2.0	5.0	1.0	0.0	1.149059697	0.78079456089999999
2.2	22	1.0	5.0	1.0	0.0	0.0	0.3894212246
1.8	22	1.0	3.0	1.0	0.0	0.0	0.48807454109999998
3.0	22	3.0	1.0	1.0	1.0	0.0	2.3377566338000002
2.6	22	3.0	1.0	1.0	1.0	0.95027053920000004	1.7008459568000001
2.6	22	2.0	1.0	1.0	1.0	0.0	1.6698262691000001
2.2	22	2.0	1.0	1.0	1.0	1.0114042647000001	1.4908330440999999
2.6	22	3.0	1.0	1.0	1.0	1.4750763111	1.3351585865
2.2	22	2.0	1.0	1.0	1.0	0.69314718060000002	1.2102113962000001
1.8	32	3.0	8.0	0.0	1.0	3.3598096064999998	0.3977969885
2.0	32	1.0	6.0	0.0	1.0	2.7502630414000002	0.53089642520000002
1.4	32	1.0	3.0	0.0	1.0	3.0713837116999998	1.1312283277999999
1.8	32	1.0	3.0	0.0	1.0	3.3375378716999999	0.69228470330000003
2.6	32	1.0	2.0	0.0	1.0	1.054920168	1.2693502903
2.8	32	1.0	2.0	0.0	1.0	2.4689192914999998	1.1494791508
3.0	32	3.0	1.0	1.0	1.0	1.3862943611	1.1205394268
2.0	32	3.0	1.0	1.0	1.0	0.0	0.61548179390000002
2.2	32	1.0	2.0	0.0	1.0	3.0002350756	0.54265487189999995
1.6	32	1.0	3.0	0.0	0.0	1.4750763111	0.38881111149999997
2.2	32	1.0	2.0	1.0	0.0	2.3516733019	0.3543975949
1.0	35	1.0	22.0	0.0	1.0	3.2318265609000001	1.7404195069999999
1.6	35	1.0	10.0	0.0	1.0	2.7502630414000002	0.43934008499999999
2.4	35	1.0	11.0	0.0	0.0	2.1773485391	0.43276703399999999
2.6	35	3.0	11.0	0.0	0.0	2.9704815510000002	0.37944182799999998
2.6	35	3.0	10.0	0.0	0.0	1.2347141662000001	0.51663506000000003
2.2	35	1.0	2.0	1.0	1.0	0.0	2.2019207478
2.0	35	3.0	3.0	0.0	1.0	1.5755616078000001	0.38974446060000001
2.2	35	1.0	4.0	0.0	0.0	3.3557463802999998	0.31270700689999997
1.0	35	1.0	3.0	1.0	0.0	0.4437572843	0.25206455589999999
1.8	35	1.0	2.0	0.0	1.0	3.0713837116999998	1.0967895985
2.2	35	1.0	2.0	1.0	0.0	0.0	0.28331261870000002
3.0	11	2.0	1.0	1.0	1.0	0.0	3.0315823554999999
2.6	11	2.0	2.0	0.0	1.0	0.0	0.96771001820000002
1.4	11	1.0	1.0	1.0	0.0	0.0	4.3308320045000004
2.0	11	1.0	1.0	1.0	0.0	0.0	3.3744029999
2.2	11	3.0	1.0	1.0	0.0	0.0	2.6995224953000001
1.0	11	3.0	1.0	1.0	0.0	0.0	2.5984992981000001
1.0	11	1.0	1.0	1.0	0.0	0.0	2.5984992981000001
1.2	11	1.0	1.0	1.0	0.0	0.0	2.2796294689000001
1.0	11	1.0	1.0	1.0	0.0	0.0	2.1654160023000002
1.0	11	1.0	1.0	1.0	0.0	0.0	2.1654160023000002
1.0	11	1.0	1.0	1.0	0.0	0.0	1.2992496490000001
2.4	15	2.0	5.0	1.0	1.0	0.97011578399999998	1.7831978798000001
3.0	15	3.0	1.0	1.0	1.0	1.6094379124	1.7489508389999999
2.8	15	2.0	1.0	1.0	1.0	0.69314718060000002	1.7489508389999999
2.8	15	3.0	1.0	1.0	1.0	2.3456720703	1.2424759864999999
1.0	15	1.0	1.0	1.0	0.0	0.0	3.4979016780999999
1.0	15	2.0	1.0	1.0	0.0	0.0	3.4979016780999999
1.0	15	1.0	1.0	1.0	0.0	0.0	3.4497365952000001
1.0	15	1.0	1.0	1.0	0.0	0.0	3.4497365952000001
2.8	15	2.0	1.0	0.0	1.0	0.0	2.6234264374
2.4	15	2.0	1.0	0.0	1.0	1.0397207708	2.1642162800000002
3.0	15	2.0	1.0	0.0	1.0	0.0	1.9225165844000001
